// Gravity Guy
// Criação:        14 Fev 2013
// Atualização:    27 Set 2021
// Descrição:   Posição das plataformas do nível 1
//
//    FLOOR_2560X150 = 0
//    FLOOR_2560X300 = 1
//    PLAT_150X50_FIXED = 2 
//    PLAT_150X50_MOBILE_H = 3
//    PLAT_150X50_MOBILE_V = 4
//    PLAT_200X100 = 5
//    FLOOR_1280X300 = 6
//    PLAT_400X100 = 7
//    PLAT_600X300 = 8
//    PLAT_400X150 = 9 
//    PLAT_400X400 = 10
//
//  posX    posY    platType
    1280    645     0
    1355    545     2
    1830    520     5
    2280    445     3
    3200    570     6
    4000    370     7
    4450    570     8
    4470    220     5
    5050    645     9
    5225    420     4
    5525    520     10
    5625    570     8
    6100    320     4
    6575    570     8
    6675    520     10
    7075    320     5
    7915    570     6
    7975    370     7
    7475    395     2
    9295    570     6
    9030    220     4
    9305    220     5
    10235   645     9
    10610   420     4
    10860   220     4
    11110   520     4
    11485   520     10
    11585   570     8
    12285   570     8
    
