// Gravity Guy
// Criação:        14 Fev 2013
// Atualização:    27 Set 2021
// Descrição:   Posição das plataformas do nível 1
//
//    FLOOR_2560X150 = 0
//    FLOOR_2560X300 = 1
//    PLAT_150X50_FIXED = 2  // normal (degrau no solo)
//    PLAT_150X50_MOBILE_H = 3 // balança pra lateral 
//    PLAT_150X50_MOBILE_V = 4
//    PLAT_200X100 = 5      // grande e alta
//    FLOOR_1280X300 = 6
//    PLAT_400X100 = 7
//    PLAT_600X300 = 8
//    PLAT_400X150 = 9 
//    PLAT_400X400 = 10
//
//  posX    posY    platType
    1280    645     0
    900     545     2  
    1300    520     5
    1800    520     5
    2200    445     3
    2700    445     3

    3650    750     6
    3250    550     2  
    3500    350     4
    4250    175     2  
    4300    350     6

    5550    570     8
    5570    270     5
    5650    645     9
    6025    420     4
    6325    520     10
    6425    570     8

    6925    470     5
    7325    420     5
    7725    370     5
    8125    320     5
    8525    270     5
    8925    220     5
    9325    270     5
    9725    320     5
    10125   370     5
    10525   420     5
       
    10925   470     7


   
    
