// Gravity Guy
// Criação:        14 Fev 2013
// Atualização:    27 Set 2021
// Descrição:   Posição das plataformas do nível 1
//
//    FLOOR_2560X150 = 0
//    FLOOR_2560X300 = 1
//    PLAT_150X50_FIXED = 2  // normal (degrau no solo)
//    PLAT_150X50_MOBILE_H = 3 // balança pra lateral 
//    PLAT_150X50_MOBILE_V = 4
//    PLAT_200X100 = 5      // grande e alta
//    FLOOR_1280X300 = 6
//    PLAT_400X100 = 7
//    PLAT_600X300 = 8
//    PLAT_400X150 = 9 
//    PLAT_400X400 = 10
//
//  posX    posY    platType
    1280    645     0
    900     545     2  
    1300    520     5
    1800    520     5
    2200    445     3
    2700    445     3

    3650    570     6
    3650    395     2  
    3900    340     3
    4500    350     7
    4850    570     8
    4870    270     5
    5650    645     9
    6025    420     4
    6325    520     10
    6425    570     8
    6900    320     4
    7375    570     8
    7475    520     10
    7875    320     5
    8715    570     6
    8775    370     7
    8275    395     2
    10095   570     6
    10830   220     4
    10105   220     5
    11035   645     9
    11410   420     4
    11660   220     4
    11910   520     4
    12385   520     10
    12485   570     8
    13285   570     8
    
